Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-11-30 14:52:00-05:00,94.29000091552734,94.4800033569336,94.2698974609375,94.46630096435547,199815,0,0
2022-11-30 14:53:00-05:00,94.47000122070312,94.51000213623047,94.36009979248047,94.36499786376953,193050,0,0
2022-11-30 14:54:00-05:00,94.36000061035156,94.44000244140625,94.30999755859375,94.37999725341797,147434,0,0
2022-11-30 14:55:00-05:00,94.38999938964844,94.43000030517578,94.33999633789062,94.33999633789062,119161,0,0
2022-11-30 14:56:00-05:00,94.34500122070312,94.34500122070312,94.21099853515625,94.23999786376953,154020,0,0
2022-11-30 14:57:00-05:00,94.25,94.33999633789062,94.22000122070312,94.33000183105469,124236,0,0
2022-11-30 14:58:00-05:00,94.33000183105469,94.4800033569336,94.31500244140625,94.45999908447266,105398,0,0
2022-11-30 14:59:00-05:00,94.45999908447266,94.58999633789062,94.45999908447266,94.57499694824219,192063,0,0
2022-11-30 15:00:00-05:00,94.56999969482422,94.66999816894531,94.47000122070312,94.49500274658203,268028,0,0
2022-11-30 15:01:00-05:00,94.49500274658203,94.66000366210938,94.44999694824219,94.63999938964844,172017,0,0
2022-11-30 15:02:00-05:00,94.625,94.75,94.61000061035156,94.7300033569336,217460,0,0
2022-11-30 15:03:00-05:00,94.7300033569336,94.87999725341797,94.69999694824219,94.87999725341797,201826,0,0
2022-11-30 15:04:00-05:00,94.87999725341797,94.9800033569336,94.85009765625,94.97530364990234,250533,0,0
2022-11-30 15:05:00-05:00,94.9749984741211,95.01000213623047,94.83000183105469,94.87989807128906,251231,0,0
2022-11-30 15:06:00-05:00,94.87000274658203,95.0,94.83000183105469,94.98999786376953,157242,0,0
2022-11-30 15:07:00-05:00,94.98580169677734,95.0,94.87999725341797,94.9802017211914,185586,0,0
2022-11-30 15:08:00-05:00,94.98500061035156,95.13999938964844,94.9800033569336,95.13819885253906,182227,0,0
2022-11-30 15:09:00-05:00,95.13999938964844,95.25,95.09500122070312,95.21990203857422,344952,0,0
2022-11-30 15:10:00-05:00,95.2300033569336,95.23529815673828,95.0999984741211,95.1260986328125,188242,0,0
2022-11-30 15:11:00-05:00,95.125,95.16999816894531,95.0999984741211,95.13500213623047,169937,0,0
2022-11-30 15:12:00-05:00,95.12999725341797,95.23580169677734,95.12000274658203,95.20999908447266,147091,0,0
2022-11-30 15:13:00-05:00,95.21160125732422,95.24500274658203,95.11009979248047,95.12999725341797,144703,0,0
2022-11-30 15:14:00-05:00,95.13999938964844,95.1500015258789,95.04000091552734,95.11000061035156,198595,0,0
2022-11-30 15:15:00-05:00,95.10929870605469,95.13500213623047,95.091796875,95.12750244140625,155952,0,0
2022-11-30 15:16:00-05:00,95.125,95.33000183105469,95.12000274658203,95.31999969482422,289519,0,0
2022-11-30 15:17:00-05:00,95.31999969482422,95.4800033569336,95.30999755859375,95.4800033569336,311711,0,0
2022-11-30 15:18:00-05:00,95.47000122070312,95.4800033569336,95.30999755859375,95.3499984741211,212786,0,0
2022-11-30 15:19:00-05:00,95.3499984741211,95.37999725341797,95.31999969482422,95.32830047607422,180962,0,0
2022-11-30 15:20:00-05:00,95.31999969482422,95.3499984741211,95.26000213623047,95.33100128173828,179007,0,0
2022-11-30 15:21:00-05:00,95.33499908447266,95.4811019897461,95.33000183105469,95.46499633789062,294368,0,0
2022-11-30 15:22:00-05:00,95.47000122070312,95.56999969482422,95.44999694824219,95.4800033569336,361551,0,0
2022-11-30 15:23:00-05:00,95.4800033569336,95.55000305175781,95.41999816894531,95.54000091552734,160763,0,0
2022-11-30 15:24:00-05:00,95.5199966430664,95.58000183105469,95.44000244140625,95.46009826660156,188046,0,0
2022-11-30 15:25:00-05:00,95.46499633789062,95.56539916992188,95.45449829101562,95.55989837646484,186260,0,0
2022-11-30 15:26:00-05:00,95.55999755859375,95.61000061035156,95.51000213623047,95.60009765625,204217,0,0
2022-11-30 15:27:00-05:00,95.61000061035156,95.66000366210938,95.52999877929688,95.64810180664062,207699,0,0
2022-11-30 15:28:00-05:00,95.64810180664062,95.73999786376953,95.63490295410156,95.66999816894531,292005,0,0
2022-11-30 15:29:00-05:00,95.68000030517578,95.75,95.66999816894531,95.72000122070312,163306,0,0
2022-11-30 15:30:00-05:00,95.71499633789062,95.75,95.69000244140625,95.69999694824219,148300,0,0
2022-11-30 15:31:00-05:00,95.70700073242188,95.70999908447266,95.62000274658203,95.65499877929688,233057,0,0
2022-11-30 15:32:00-05:00,95.65499877929688,95.73880004882812,95.6500015258789,95.73880004882812,180558,0,0
2022-11-30 15:33:00-05:00,95.73880004882812,95.75,95.67500305175781,95.69499969482422,247905,0,0
2022-11-30 15:34:00-05:00,95.69000244140625,95.87999725341797,95.68000030517578,95.87169647216797,291034,0,0
2022-11-30 15:35:00-05:00,95.87999725341797,95.87999725341797,95.79000091552734,95.86000061035156,219242,0,0
2022-11-30 15:36:00-05:00,95.86000061035156,95.93000030517578,95.83999633789062,95.91000366210938,244282,0,0
2022-11-30 15:37:00-05:00,95.91000366210938,96.0,95.79029846191406,95.81999969482422,463824,0,0
2022-11-30 15:38:00-05:00,95.81999969482422,95.83999633789062,95.72000122070312,95.78500366210938,264342,0,0
2022-11-30 15:39:00-05:00,95.77999877929688,95.87999725341797,95.7699966430664,95.79000091552734,231904,0,0
2022-11-30 15:40:00-05:00,95.79000091552734,95.87000274658203,95.71009826660156,95.85009765625,223165,0,0
