,SPY_Close
2023-02-08 11:53:00-05:00,410.55999755859375
2023-02-08 11:54:00-05:00,410.739990234375
2023-02-08 11:55:00-05:00,410.7999877929688
2023-02-08 11:56:00-05:00,411.135009765625
2023-02-08 11:57:00-05:00,411.30999755859375
2023-02-08 11:58:00-05:00,411.3619995117188
2023-02-08 11:59:00-05:00,411.3619995117188
2023-02-08 12:00:00-05:00,411.3299865722656
2023-02-08 12:01:00-05:00,411.2000122070313
2023-02-08 12:02:00-05:00,411.1499938964844
2023-02-08 12:03:00-05:00,411.0199890136719
2023-02-08 12:04:00-05:00,410.8200073242188
2023-02-08 12:05:00-05:00,410.8200073242188
2023-02-08 12:06:00-05:00,410.8200073242188
2023-02-08 12:07:00-05:00,410.989990234375
2023-02-08 12:08:00-05:00,411.0498962402344
2023-02-08 12:09:00-05:00,411.0498962402344
2023-02-08 12:10:00-05:00,411.2000122070313
2023-02-08 12:11:00-05:00,411.2900085449219
2023-02-08 12:12:00-05:00,411.2900085449219
2023-02-08 12:13:00-05:00,411.0199890136719
2023-02-08 12:14:00-05:00,410.7200012207031
2023-02-08 12:15:00-05:00,410.7200012207031
2023-02-08 12:16:00-05:00,410.8999938964844
2023-02-08 12:17:00-05:00,411.090087890625
2023-02-08 12:18:00-05:00,411.1799926757813
2023-02-08 12:19:00-05:00,411.239990234375
2023-02-08 12:20:00-05:00,411.4100036621094
2023-02-08 12:21:00-05:00,411.5799865722656
2023-02-08 12:22:00-05:00,411.7300109863281
2023-02-08 12:23:00-05:00,411.7300109863281
2023-02-08 12:24:00-05:00,411.6300964355469
2023-02-08 12:25:00-05:00,411.3299865722656
2023-02-08 12:26:00-05:00,411.3299865722656
2023-02-08 12:27:00-05:00,411.4500122070313
2023-02-08 12:28:00-05:00,411.6799926757813
2023-02-08 12:29:00-05:00,411.6950073242188
2023-02-08 12:30:00-05:00,411.7326965332031
2023-02-08 12:31:00-05:00,411.8500061035156
2023-02-08 12:32:00-05:00,411.7326965332031
2023-02-08 12:33:00-05:00,411.5700073242188
2023-02-08 12:34:00-05:00,411.2200012207031
2023-02-08 12:35:00-05:00,411.2200012207031
2023-02-08 12:36:00-05:00,411.3200073242188
2023-02-08 12:37:00-05:00,411.3200073242188
2023-02-08 12:38:00-05:00,411.2000122070313
2023-02-08 12:39:00-05:00,410.8599853515625
2023-02-08 12:40:00-05:00,410.8599853515625
2023-02-08 12:41:00-05:00,410.7905883789063
2023-02-08 12:42:00-05:00,410.8450012207031
2023-02-08 12:43:00-05:00,410.8450012207031
2023-02-08 12:44:00-05:00,410.9833984375
2023-02-08 12:45:00-05:00,411.2900085449219
2023-02-08 12:46:00-05:00,411.2900085449219
2023-02-08 12:47:00-05:00,411.2900085449219
2023-02-08 12:48:00-05:00,411.2999877929688
2023-02-08 12:49:00-05:00,411.5679931640625
2023-02-08 12:50:00-05:00,411.6300048828125
2023-02-08 12:51:00-05:00,411.7099914550781
2023-02-08 12:52:00-05:00,411.7099914550781
2023-02-08 12:53:00-05:00,411.6650085449219
2023-02-08 12:54:00-05:00,411.5801086425781
2023-02-08 12:55:00-05:00,411.5801086425781
2023-02-08 12:56:00-05:00,411.6900024414063
2023-02-08 12:57:00-05:00,411.6900024414063
2023-02-08 12:58:00-05:00,411.6900024414063
2023-02-08 12:59:00-05:00,411.8900146484375
2023-02-08 13:00:00-05:00,411.8999938964844
2023-02-08 13:01:00-05:00,412.0000915527344
2023-02-08 13:02:00-05:00,412.1300048828125
2023-02-08 13:03:00-05:00,412.1300048828125
2023-02-08 13:04:00-05:00,412.05999755859375
2023-02-08 13:05:00-05:00,412.05999755859375
2023-02-08 13:06:00-05:00,412.3900146484375
2023-02-08 13:07:00-05:00,412.510009765625
2023-02-08 13:08:00-05:00,412.3900146484375
2023-02-08 13:09:00-05:00,412.2300109863281
2023-02-08 13:10:00-05:00,412.2300109863281
2023-02-08 13:11:00-05:00,412.3299865722656
2023-02-08 13:12:00-05:00,412.3299865722656
2023-02-08 13:13:00-05:00,412.260009765625
2023-02-08 13:14:00-05:00,412.260009765625
2023-02-08 13:15:00-05:00,412.2300109863281
2023-02-08 13:16:00-05:00,412.1668090820313
2023-02-08 13:17:00-05:00,412.05999755859375
2023-02-08 13:18:00-05:00,412.05999755859375
2023-02-08 13:19:00-05:00,412.2500915527344
2023-02-08 13:20:00-05:00,412.2500915527344
2023-02-08 13:21:00-05:00,412.3200073242188
2023-02-08 13:22:00-05:00,412.3800048828125
2023-02-08 13:23:00-05:00,412.4700012207031
2023-02-08 13:24:00-05:00,412.4700012207031
2023-02-08 13:25:00-05:00,412.30999755859375
2023-02-08 13:26:00-05:00,412.1900024414063
2023-02-08 13:27:00-05:00,411.7900085449219
2023-02-08 13:28:00-05:00,411.6700134277344
2023-02-08 13:29:00-05:00,411.6400146484375
2023-02-08 13:30:00-05:00,411.3900146484375
2023-02-08 13:31:00-05:00,411.3599853515625
2023-02-08 13:32:00-05:00,411.3599853515625
2023-02-08 13:33:00-05:00,411.3900146484375
2023-02-08 13:34:00-05:00,411.489990234375
2023-02-08 13:35:00-05:00,411.489990234375
2023-02-08 13:36:00-05:00,411.5899963378906
2023-02-08 13:37:00-05:00,411.5899963378906
2023-02-08 13:38:00-05:00,411.5549926757813
2023-02-08 13:39:00-05:00,411.239990234375
2023-02-08 13:40:00-05:00,411.2000122070313
2023-02-08 13:41:00-05:00,411.2000122070313
2023-02-08 13:42:00-05:00,411.2000122070313
2023-02-08 13:43:00-05:00,411.2699890136719
2023-02-08 13:44:00-05:00,411.260009765625
2023-02-08 13:45:00-05:00,411.2900085449219
2023-02-08 13:46:00-05:00,411.3150024414063
2023-02-08 13:47:00-05:00,411.3150024414063
2023-02-08 13:48:00-05:00,411.1099853515625
2023-02-08 13:49:00-05:00,411.1099853515625
2023-02-08 13:50:00-05:00,411.1199951171875
2023-02-08 13:51:00-05:00,411.1199951171875
2023-02-08 13:52:00-05:00,411.1199951171875
2023-02-08 13:53:00-05:00,411.0400085449219
2023-02-08 13:54:00-05:00,411.1199951171875
2023-02-08 13:55:00-05:00,411.1600036621094
2023-02-08 13:56:00-05:00,411.3599853515625
2023-02-08 13:57:00-05:00,411.3599853515625
